method,model_id,test_scale,instance_index,preference_id,cost_weight,risk_weight,expected_restarts,observed_restarts,feasible_rate,all_restarts_feasible,terminal_clear_rate,technical_failure_rate,missing_rate,runtime_seconds,successful_runtime_seconds_conditional,failed_runtime_seconds_conditional,solver_status,cost,risk,normalized_cost,normalized_risk,weighted_objective_raw,weighted_objective_normalized,fixed_cost,distance_cost,processing_cost,transport_risk,coload_risk,producer_inventory_risk,facility_inventory_risk
ga,GA,Test-2,45,C100-R000,1.0,0.0,3,3,1.0,True,1.0,0.0,0.0,2.910209499998018,2.910209499998018,,completed,2263.3284289999997,44.02261391040224,0.8354388023370344,0.8395774745780983,2263.3284289999997,0.8354388023370344,150.0,1606.9440000000002,506.38442899999995,16.29922696286199,1.012960947540248,26.710426000000002,0.0
ga,GA,Test-2,46,C000-R100,0.0,1.0,3,3,1.0,True,1.0,0.0,0.0,3.304130299986961,3.304130299986961,,completed,3523.509458666667,39.109221024632404,0.8693998109216222,0.7414061512179656,39.109221024632404,0.7414061512179656,166.66666666666666,2472.7980000000002,884.044792,9.46799106879478,0.7899019558376311,28.851327999999995,0.0
ga,GA,Test-2,46,C025-R075,0.25,0.75,3,3,1.0,True,1.0,0.0,0.0,2.989138599989625,2.989138599989625,,completed,2942.5647919999997,39.19430483211503,0.7260560256187016,0.7430191124732392,765.0369266240863,0.7387783407596048,150.0,1908.5200000000002,884.044792,9.439432355112018,0.9035444770030169,28.851327999999995,0.0
ga,GA,Test-2,46,C050-R050,0.5,0.5,3,3,1.0,True,1.0,0.0,0.0,3.0336162666402138,3.0336162666402138,,completed,2939.1897919999997,38.89079186646645,0.7252232694146156,0.73726531902477,1489.0402919332334,0.7312442942196927,150.0,1905.1450000000002,884.044792,9.235349102262422,0.8041147642040309,28.851327999999995,0.0
ga,GA,Test-2,46,C075-R025,0.75,0.25,3,3,1.0,True,1.0,0.0,0.0,3.1402889333742983,3.1402889333742983,,completed,2836.839792,40.76457547347588,0.6999691664551474,0.7727872408603695,2137.820987868369,0.718173685056453,150.0,1802.795,884.044792,10.85745826750751,1.0557892059683762,28.851327999999995,0.0
ga,GA,Test-2,46,C100-R000,1.0,0.0,3,3,1.0,True,1.0,0.0,0.0,3.0207879666704684,3.0207879666704684,,completed,2776.481792,44.84697839422035,0.6850762778725623,0.8501786733126755,2776.481792,0.6850762778725623,150.0,1742.437,884.044792,14.756922863614198,1.2387275306061631,28.851327999999995,0.0
ga,GA,Test-2,47,C000-R100,0.0,1.0,3,3,1.0,True,1.0,0.0,0.0,3.387452866649255,3.387452866649255,,completed,2611.112634,51.32479116788602,0.7392602124677422,0.7281337544701666,51.32479116788602,0.7281337544701666,150.0,1960.209,500.903634,16.23498952193569,0.35222664595032,34.73757500000001,0.0
ga,GA,Test-2,47,C025-R075,0.25,0.75,3,3,1.0,True,1.0,0.0,0.0,3.1837051666419334,3.1837051666419334,,completed,2307.2006340000003,49.32870652848562,0.6532164138333948,0.6998157317436321,613.7966883963642,0.6881659022660728,150.0,1656.2969999999998,500.903634,14.268573406580709,0.32255812190490996,34.73757500000001,0.0
ga,GA,Test-2,47,C050-R050,0.5,0.5,3,3,1.0,True,1.0,0.0,0.0,3.1201777999910214,3.1201777999910214,,completed,2193.020634,49.46295303872489,0.6208896846220776,0.7017202580612413,1121.2417935193625,0.6613049713416596,150.0,1542.1170000000002,500.903634,14.442195715521605,0.28318232320328496,34.73757500000001,0.0
ga,GA,Test-2,47,C075-R025,0.75,0.25,3,3,1.0,True,1.0,0.0,0.0,3.2657125667125606,3.2657125667125606,,completed,2038.3006340000002,52.60697512906058,0.5770852395040624,0.7463238220832548,1541.8772192822653,0.6193948851488605,150.0,1387.3970000000002,500.903634,17.483910917290398,0.385489211770179,34.73757500000001,0.0
