model_id,test_scale,instance_index,preference_id,ppo_j,ga_j,delta_j_percent
Train-L,Test-2,1,C050-R050,0.722593176147146,0.7635704507265095,5.366534881015252
Train-L,Test-2,1,C075-R025,0.7074080410832084,0.7357284985480689,3.8493082055064813
Train-L,Test-2,1,C100-R000,0.6969517703199432,0.7179028096759802,2.918367092823209
Train-L,Test-2,2,C000-R100,0.0869311244993883,0.8211696678024062,89.41374384516281
Train-L,Test-2,2,C025-R075,0.5231835219029247,0.8408352227269335,37.77811540694319
Train-L,Test-2,2,C050-R050,0.691861846662618,0.8432708753344468,17.954969524090227
Train-L,Test-2,2,C075-R025,0.7133113892640722,0.849517978103744,16.033396861559773
Train-L,Test-2,2,C100-R000,0.6624279242262406,0.8178001940432026,18.99880569223171
Train-L,Test-2,3,C000-R100,0.15140713512232554,0.7490951056306963,79.78799567848608
Train-L,Test-2,3,C025-R075,0.6408303131966829,0.811703098850343,21.051143687350212
Train-L,Test-2,3,C050-R050,0.7695731562481062,0.8037043401659846,4.24673380646787
Train-L,Test-2,3,C075-R025,0.761722546507179,0.7848224534215155,2.9433290056407078
Train-L,Test-2,3,C100-R000,0.7543694748355839,0.7683888814606282,1.8245197143398086
Train-L,Test-2,4,C000-R100,0.18013766114650473,0.7197683143647869,74.97282701233095
Train-L,Test-2,4,C025-R075,0.6109281734808404,0.7899675557478738,22.664143731514926
Train-L,Test-2,4,C050-R050,0.7489142414647402,0.8315353386149642,9.935969442722755
Train-L,Test-2,4,C075-R025,0.781504337282219,0.8432464591235771,7.321954474084524
Train-L,Test-2,4,C100-R000,0.7458104065748502,0.82956181960583,10.095861580367167
Train-L,Test-2,5,C000-R100,0.12550358298992392,0.6877315673409033,81.75108007980783
Train-L,Test-2,5,C025-R075,0.5640257971081167,0.7280961865412777,22.53416409342221
Train-L,Test-2,5,C050-R050,0.6703924171207497,0.7557911135788303,11.299245905882618
Train-L,Test-2,5,C075-R025,0.6076002742227412,0.7780384421925591,21.906137117018652
Train-L,Test-2,5,C100-R000,0.5842736995887536,0.7426291692222167,21.323626406880116
Train-L,Test-2,6,C000-R100,0.2203016003220668,0.5855750691798699,62.37858954094283
Train-L,Test-2,6,C025-R075,0.6005406601815725,0.6411375649110831,6.332011560598675
Train-L,Test-2,6,C050-R050,0.628537852006744,0.6829788079065079,7.971104706255586
Train-L,Test-2,6,C075-R025,0.6794728736815042,0.6612735562254515,-2.7521616862973355
Train-L,Test-2,6,C100-R000,0.6577994409639508,0.6580219220805955,0.033810593413245084
Train-L,Test-2,7,C000-R100,0.1945688637441955,0.8314713962298351,76.59945193226915
Train-L,Test-2,7,C025-R075,0.5561663212259033,0.7876408477730706,29.388334442230214
Train-L,Test-2,7,C050-R050,0.7288867570882065,0.7742400523866694,5.857782112751335
Train-L,Test-2,7,C075-R025,0.7084513561384012,0.7449866599037299,4.904155434145626
Train-L,Test-2,7,C100-R000,0.6634493150563983,0.6845388702227474,3.0808411448551705
Train-L,Test-2,8,C000-R100,0.19402956471455898,0.6201280359591629,68.71137031976791
Train-L,Test-2,8,C025-R075,0.6196020641284317,0.6644425115054692,6.748581946606591
Train-L,Test-2,8,C050-R050,0.6623509669183908,0.7229557079373427,8.382912030926848
Train-L,Test-2,8,C075-R025,0.694433998961587,0.7956129177959307,12.717103577784721
Train-L,Test-2,8,C100-R000,0.710791566102738,0.8137677221289427,12.654244353266197
Train-L,Test-2,9,C000-R100,0.1592613289076091,0.6087791690489286,73.83922824487954
Train-L,Test-2,9,C025-R075,0.5644227609599098,0.6773114236199215,16.66717240005684
