method,model_id,instance_index,preference_id,weighted_objective_normalized,milp_j,milp_status,gap_percent
ga,GA,18,C075-R025,0.7290471236768851,0.5610272029150679,optimal,29.948622792049022
ga,GA,18,C100-R000,0.7365948424414559,0.5698393656579822,optimal,29.263593713102722
ga,GA,19,C000-R100,0.857300492444438,0.46775970301196634,optimal,83.27797091629894
ga,GA,19,C025-R075,0.8946023683860719,0.7714635488666709,optimal,15.961715845200949
ga,GA,19,C050-R050,0.9319042443277059,0.9222210713813985,optimal,1.0499839189103455
ga,GA,19,C075-R025,0.9655387131211417,0.9655387131211421,optimal,-4.5993931037164386e-14
ga,GA,19,C100-R000,0.9982374176928616,0.9982374176928617,optimal,-1.1121833393013031e-14
ga,GA,20,C000-R100,0.5991103626890109,0.2458665801790439,optimal,143.6729555731931
ga,GA,20,C025-R075,0.6993327720167581,0.6641138758995357,optimal,5.303141132161822
ga,GA,20,C050-R050,0.7995551813445054,0.7995551813445261,optimal,-2.5827045762248425e-12
ga,GA,20,C075-R025,0.8997775906722527,0.8997775906722015,optimal,5.6882147283734255e-12
ga,GA,20,C100-R000,1.0,1.000000000000002,optimal,-1.9984014443252777e-13
ga,GA,21,C000-R100,0.6519972535577564,0.13492069790612962,solver_status_1,
ga,GA,21,C025-R075,0.688170342842815,0.4556404913434412,solver_status_1,
ga,GA,21,C050-R050,0.726019663909604,0.6604794110337413,solver_status_1,
ga,GA,21,C075-R025,0.7118190450166996,0.7076611089189219,optimal,0.5875603513282919
ga,GA,21,C100-R000,0.6877361892970703,0.6877361892970705,optimal,-3.2286305182221293e-14
ga,GA,22,C000-R100,0.5335571270255423,0.16096079744998673,solver_status_1,
ga,GA,22,C025-R075,0.6817324360078109,0.5185135360767787,solver_status_1,
ga,GA,22,C050-R050,0.8002675161096332,0.7180623626579801,optimal,11.44819137259367
ga,GA,22,C075-R025,0.8594087749504512,0.8594087749502847,optimal,1.9377676671198426e-11
ga,GA,22,C100-R000,0.9185500337912694,0.9185500337912668,optimal,2.9008057929110807e-13
ga,GA,23,C000-R100,0.6269428321994427,0.1666009567571828,solver_status_1,
ga,GA,23,C025-R075,0.7052463559622021,0.4133830344835116,solver_status_1,
ga,GA,23,C050-R050,0.7497914421038055,0.5357746488941038,solver_status_1,
ga,GA,23,C075-R025,0.7919852434519895,0.6342221921358331,optimal,24.87504430976579
ga,GA,23,C100-R000,0.8270434582883466,0.6413493287298415,optimal,28.953663976894227
ga,GA,24,C000-R100,0.7302104144207854,0.12596505633446398,solver_status_1,
ga,GA,24,C025-R075,0.7721454635520494,0.36112944094819477,solver_status_1,
ga,GA,24,C050-R050,0.7943904270384502,0.4642564668757135,optimal,71.11025558446711
ga,GA,24,C075-R025,0.791583936760411,0.5477246273689907,optimal,44.52224661921899
ga,GA,24,C100-R000,0.7887774464823719,0.5504732355619886,optimal,43.29078972878565
